,จังหวัด,เขต,พรรค,ผลคะแนน,ภาค
พลังท้องถิ่นไท,สระบุรี,2,พลังท้องถิ่นไท,268,ภาคกลาง
เครือข่ายชาวนาแห่งประเทศไทย,สระบุรี,2,เครือข่ายชาวนาแห่งประเทศไทย,227,ภาคกลาง
ชาติพัฒนา,สระบุรี,2,ชาติพัฒนา,179,ภาคกลาง
ไทรักธรรม,สระบุรี,2,ไทรักธรรม,173,ภาคกลาง
เพื่อชาติ,สระบุรี,2,เพื่อชาติ,160,ภาคกลาง
พลังชาติไทย,สระบุรี,2,พลังชาติไทย,113,ภาคกลาง
ประชาธิปไตยใหม่,สระบุรี,2,ประชาธิปไตยใหม่,107,ภาคกลาง
ประชาธรรมไทย,สระบุรี,2,ประชาธรรมไทย,107,ภาคกลาง
มหาชน,สระบุรี,2,มหาชน,106,ภาคกลาง
พลังไทสร้างชาติ,สระบุรี,2,พลังไทสร้างชาติ,81,ภาคกลาง
ประชาภิวัฒน์,สระบุรี,2,ประชาภิวัฒน์,69,ภาคกลาง
ประชาชนปฏิรูป,สระบุรี,2,ประชาชนปฏิรูป,48,ภาคกลาง
ประชาไทย,สระบุรี,2,ประชาไทย,39,ภาคกลาง
เพื่อไทย,สระบุรี,3,เพื่อไทย,32674,ภาคกลาง
ภูมิใจไทย,สระบุรี,3,ภูมิใจไทย,31414,ภาคกลาง
พลังประชารัฐ,สระบุรี,3,พลังประชารัฐ,25328,ภาคกลาง
อนาคตใหม่,สระบุรี,3,อนาคตใหม่,19971,ภาคกลาง
ประชาธิปัตย์,สระบุรี,3,ประชาธิปัตย์,5316,ภาคกลาง
สยามพัฒนา,สระบุรี,3,สยามพัฒนา,3023,ภาคกลาง
เสรีรวมไทย,สระบุรี,3,เสรีรวมไทย,2418,ภาคกลาง
เศรษฐกิจใหม่,สระบุรี,3,เศรษฐกิจใหม่,1702,ภาคกลาง
รวมพลังประชาชาติไทย,สระบุรี,3,รวมพลังประชาชาติไทย,646,ภาคกลาง
ชาติไทยพัฒนา,สระบุรี,3,ชาติไทยพัฒนา,637,ภาคกลาง
ชาติพัฒนา,สระบุรี,3,ชาติพัฒนา,426,ภาคกลาง
เพื่อชาติ,สระบุรี,3,เพื่อชาติ,361,ภาคกลาง
พลังท้องถิ่นไท,สระบุรี,3,พลังท้องถิ่นไท,360,ภาคกลาง
ไทยศรีวิไลย์,สระบุรี,3,ไทยศรีวิไลย์,351,ภาคกลาง
รักษ์ผืนป่าประเทศไทย,สระบุรี,3,รักษ์ผืนป่าประเทศไทย,340,ภาคกลาง
พลังรัก,สระบุรี,3,พลังรัก,269,ภาคกลาง
ครูไทยเพื่อประชาชน,สระบุรี,3,ครูไทยเพื่อประชาชน,254,ภาคกลาง
พลังชาติไทย,สระบุรี,3,พลังชาติไทย,230,ภาคกลาง
ประชานิยม,สระบุรี,3,ประชานิยม,186,ภาคกลาง
เครือข่ายชาวนาแห่งประเทศไทย,สระบุรี,3,เครือข่ายชาวนาแห่งประเทศไทย,159,ภาคกลาง
ไทรักธรรม,สระบุรี,3,ไทรักธรรม,155,ภาคกลาง
พลังไทสร้างชาติ,สระบุรี,3,พลังไทสร้างชาติ,103,ภาคกลาง
ประชาภิวัฒน์,สระบุรี,3,ประชาภิวัฒน์,100,ภาคกลาง
ประชาชนปฏิรูป,สระบุรี,3,ประชาชนปฏิรูป,86,ภาคกลาง
พลังประชารัฐ,สิงห์บุรี,1,พลังประชารัฐ,49101,ภาคกลาง
เพื่อไทย,สิงห์บุรี,1,เพื่อไทย,39085,ภาคกลาง
อนาคตใหม่,สิงห์บุรี,1,อนาคตใหม่,19733,ภาคกลาง
ภูมิใจไทย,สิงห์บุรี,1,ภูมิใจไทย,4060,ภาคกลาง
ประชาธิปัตย์,สิงห์บุรี,1,ประชาธิปัตย์,2936,ภาคกลาง
เสรีรวมไทย,สิงห์บุรี,1,เสรีรวมไทย,2175,ภาคกลาง
เพื่อชาติ,สิงห์บุรี,1,เพื่อชาติ,2078,ภาคกลาง
เศรษฐกิจใหม่,สิงห์บุรี,1,เศรษฐกิจใหม่,1329,ภาคกลาง
พลังปวงชนไทย,สิงห์บุรี,1,พลังปวงชนไทย,847,ภาคกลาง
รวมพลังประชาชาติไทย,สิงห์บุรี,1,รวมพลังประชาชาติไทย,753,ภาคกลาง
ชาติไทยพัฒนา,สิงห์บุรี,1,ชาติไทยพัฒนา,745,ภาคกลาง
พลังท้องถิ่นไท,สิงห์บุรี,1,พลังท้องถิ่นไท,497,ภาคกลาง
รักษ์ผืนป่าประเทศไทย,สิงห์บุรี,1,รักษ์ผืนป่าประเทศไทย,355,ภาคกลาง
เครือข่ายชาวนาแห่งประเทศไทย,สิงห์บุรี,1,เครือข่ายชาวนาแห่งประเทศไทย,323,ภาคกลาง
ไทรักธรรม,สิงห์บุรี,1,ไทรักธรรม,211,ภาคกลาง
พลังชาติไทย,สิงห์บุรี,1,พลังชาติไทย,190,ภาคกลาง
ชาติพัฒนา,สิงห์บุรี,1,ชาติพัฒนา,187,ภาคกลาง
ครูไทยเพื่อประชาชน,สิงห์บุรี,1,ครูไทยเพื่อประชาชน,171,ภาคกลาง
พลังไทสร้างชาติ,สิงห์บุรี,1,พลังไทสร้างชาติ,148,ภาคกลาง
ประชาภิวัฒน์,สิงห์บุรี,1,ประชาภิวัฒน์,119,ภาคกลาง
ประชานิยม,สิงห์บุรี,1,ประชานิยม,77,ภาคกลาง
ประชาชนปฏิรูป,สิงห์บุรี,1,ประชาชนปฏิรูป,66,ภาคกลาง
พลังประชารัฐ,สุโขทัย,1,พลังประชารัฐ,43957,ภาคเหนือ
เพื่อไทย,สุโขทัย,1,เพื่อไทย,32389,ภาคเหนือ
ประชาธิปัตย์,สุโขทัย,1,ประชาธิปัตย์,14619,ภาคเหนือ
อนาคตใหม่,สุโขทัย,1,อนาคตใหม่,13229,ภาคเหนือ
เสรีรวมไทย,สุโขทัย,1,เสรีรวมไทย,1539,ภาคเหนือ
ภูมิใจไทย,สุโขทัย,1,ภูมิใจไทย,1126,ภาคเหนือ
รวมพลังประชาชาติไทย,สุโขทัย,1,รวมพลังประชาชาติไทย,798,ภาคเหนือ
รักษ์ผืนป่าประเทศไทย,สุโขทัย,1,รักษ์ผืนป่าประเทศไทย,744,ภาคเหนือ
ชาติไทยพัฒนา,สุโขทัย,1,ชาติไทยพัฒนา,549,ภาคเหนือ
ไทยศรีวิไลย์,สุโขทัย,1,ไทยศรีวิไลย์,339,ภาคเหนือ
ประชาภิวัฒน์,สุโขทัย,1,ประชาภิวัฒน์,338,ภาคเหนือ
กรีน,สุโขทัย,1,กรีน,296,ภาคเหนือ
เพื่อชาติ,สุโขทัย,1,เพื่อชาติ,292,ภาคเหนือ
ประชาธิปไตยใหม่,สุโขทัย,1,ประชาธิปไตยใหม่,252,ภาคเหนือ
ไทรักธรรม,สุโขทัย,1,ไทรักธรรม,222,ภาคเหนือ
พลังปวงชนไทย,สุโขทัย,1,พลังปวงชนไทย,190,ภาคเหนือ
พลังท้องถิ่นไท,สุโขทัย,1,พลังท้องถิ่นไท,186,ภาคเหนือ
แผ่นดินธรรม,สุโขทัย,1,แผ่นดินธรรม,178,ภาคเหนือ
ชาติพัฒนา,สุโขทัย,1,ชาติพัฒนา,173,ภาคเหนือ
ประชาชนปฏิรูป,สุโขทัย,1,ประชาชนปฏิรูป,148,ภาคเหนือ
พลังชาติไทย,สุโขทัย,1,พลังชาติไทย,121,ภาคเหนือ
พลังไทยรักไทย,สุโขทัย,1,พลังไทยรักไทย,109,ภาคเหนือ
ประชานิยม,สุโขทัย,1,ประชานิยม,98,ภาคเหนือ
ภราดรภาพ,สุโขทัย,1,ภราดรภาพ,89,ภาคเหนือ
เพื่อแผ่นดิน,สุโขทัย,1,เพื่อแผ่นดิน,78,ภาคเหนือ
ประชาธรรมไทย,สุโขทัย,1,ประชาธรรมไทย,52,ภาคเหนือ
พลังประชารัฐ,สุโขทัย,2,พลังประชารัฐ,40419,ภาคเหนือ
เพื่อไทย,สุโขทัย,2,เพื่อไทย,26032,ภาคเหนือ
ประชาธิปัตย์,สุโขทัย,2,ประชาธิปัตย์,15948,ภาคเหนือ
อนาคตใหม่,สุโขทัย,2,อนาคตใหม่,10209,ภาคเหนือ
เสรีรวมไทย,สุโขทัย,2,เสรีรวมไทย,1488,ภาคเหนือ
ภูมิใจไทย,สุโขทัย,2,ภูมิใจไทย,1290,ภาคเหนือ
เพื่อชาติ,สุโขทัย,2,เพื่อชาติ,1149,ภาคเหนือ
แผ่นดินธรรม,สุโขทัย,2,แผ่นดินธรรม,937,ภาคเหนือ
รวมพลังประชาชาติไทย,สุโขทัย,2,รวมพลังประชาชาติไทย,831,ภาคเหนือ
พลังท้องถิ่นไท,สุโขทัย,2,พลังท้องถิ่นไท,830,ภาคเหนือ
เศรษฐกิจใหม่,สุโขทัย,2,เศรษฐกิจใหม่,566,ภาคเหนือ
ประชาธิปไตยใหม่,สุโขทัย,2,ประชาธิปไตยใหม่,423,ภาคเหนือ
ชาติไทยพัฒนา,สุโขทัย,2,ชาติไทยพัฒนา,413,ภาคเหนือ
ไทยศรีวิไลย์,สุโขทัย,2,ไทยศรีวิไลย์,405,ภาคเหนือ
พลังไทยรักไทย,สุโขทัย,2,พลังไทยรักไทย,392,ภาคเหนือ
พลังชาติไทย,สุโขทัย,2,พลังชาติไทย,318,ภาคเหนือ
ประชานิยม,สุโขทัย,2,ประชานิยม,193,ภาคเหนือ
เพื่อแผ่นดิน,สุโขทัย,2,เพื่อแผ่นดิน,193,ภาคเหนือ
พลังปวงชนไทย,สุโขทัย,2,พลังปวงชนไทย,162,ภาคเหนือ
พลเมืองไทย,สุโขทัย,2,พลเมืองไทย,162,ภาคเหนือ
ชาติพัฒนา,สุโขทัย,2,ชาติพัฒนา,155,ภาคเหนือ
รักษ์ผืนป่าประเทศไทย,สุโขทัย,2,รักษ์ผืนป่าประเทศไทย,138,ภาคเหนือ
พลังศรัทธา,สุโขทัย,2,พลังศรัทธา,114,ภาคเหนือ
ประชาชนปฏิรูป,สุโขทัย,2,ประชาชนปฏิรูป,111,ภาคเหนือ
ประชาภิวัฒน์,สุโขทัย,2,ประชาภิวัฒน์,96,ภาคเหนือ
ไทรักธรรม,สุโขทัย,2,ไทรักธรรม,96,ภาคเหนือ
กรีน,สุโขทัย,2,กรีน,84,ภาคเหนือ
ครูไทยเพื่อประชาชน,สุโขทัย,2,ครูไทยเพื่อประชาชน,54,ภาคเหนือ
ประชาธรรมไทย,สุโขทัย,2,ประชาธรรมไทย,21,ภาคเหนือ
ภูมิใจไทย,สุโขทัย,3,ภูมิใจไทย,34884,ภาคเหนือ
พลังประชารัฐ,สุโขทัย,3,พลังประชารัฐ,32133,ภาคเหนือ
เพื่อไทย,สุโขทัย,3,เพื่อไทย,27272,ภาคเหนือ
อนาคตใหม่,สุโขทัย,3,อนาคตใหม่,9934,ภาคเหนือ
ประชาธิปัตย์,สุโขทัย,3,ประชาธิปัตย์,5977,ภาคเหนือ
เสรีรวมไทย,สุโขทัย,3,เสรีรวมไทย,853,ภาคเหนือ
พลังท้องถิ่นไท,สุโขทัย,3,พลังท้องถิ่นไท,469,ภาคเหนือ
ภราดรภาพ,สุโขทัย,3,ภราดรภาพ,460,ภาคเหนือ
ชาติพัฒนา,สุโขทัย,3,ชาติพัฒนา,388,ภาคเหนือ
พลังปวงชนไทย,สุโขทัย,3,พลังปวงชนไทย,374,ภาคเหนือ
เพื่อชาติ,สุโขทัย,3,เพื่อชาติ,290,ภาคเหนือ
ประชาธิปไตยใหม่,สุโขทัย,3,ประชาธิปไตยใหม่,284,ภาคเหนือ
พลังไทยรักไทย,สุโขทัย,3,พลังไทยรักไทย,263,ภาคเหนือ
ไทยศรีวิไลย์,สุโขทัย,3,ไทยศรีวิไลย์,255,ภาคเหนือ
รวมพลังประชาชาติไทย,สุโขทัย,3,รวมพลังประชาชาติไทย,224,ภาคเหนือ
ประชานิยม,สุโขทัย,3,ประชานิยม,221,ภาคเหนือ
รักษ์ผืนป่าประเทศไทย,สุโขทัย,3,รักษ์ผืนป่าประเทศไทย,163,ภาคเหนือ
ประชาภิวัฒน์,สุโขทัย,3,ประชาภิวัฒน์,112,ภาคเหนือ
พลังชาติไทย,สุโขทัย,3,พลังชาติไทย,95,ภาคเหนือ
กรีน,สุโขทัย,3,กรีน,80,ภาคเหนือ
ครูไทยเพื่อประชาชน,สุโขทัย,3,ครูไทยเพื่อประชาชน,72,ภาคเหนือ
ไทรักธรรม,สุโขทัย,3,ไทรักธรรม,68,ภาคเหนือ
แผ่นดินธรรม,สุโขทัย,3,แผ่นดินธรรม,57,ภาคเหนือ
ประชาชนปฏิรูป,สุโขทัย,3,ประชาชนปฏิรูป,35,ภาคเหนือ
เพื่อแผ่นดิน,สุโขทัย,3,เพื่อแผ่นดิน,35,ภาคเหนือ
ประชาธรรมไทย,สุโขทัย,3,ประชาธรรมไทย,34,ภาคเหนือ
ชาติไทยพัฒนา,สุพรรณบุรี,4,ชาติไทยพัฒนา,59714,ภาคกลาง
เพื่อไทย,สุพรรณบุรี,4,เพื่อไทย,33368,ภาคกลาง
อนาคตใหม่,สุพรรณบุรี,4,อนาคตใหม่,11394,ภาคกลาง
พลังประชารัฐ,สุพรรณบุรี,4,พลังประชารัฐ,5777,ภาคกลาง
เศรษฐกิจใหม่,สุพรรณบุรี,4,เศรษฐกิจใหม่,1781,ภาคกลาง
ประชาธิปัตย์,สุพรรณบุรี,4,ประชาธิปัตย์,1289,ภาคกลาง
ประชาธรรมไทย,สุพรรณบุรี,4,ประชาธรรมไทย,602,ภาคกลาง
พลังธรรมใหม่,สุพรรณบุรี,4,พลังธรรมใหม่,405,ภาคกลาง
ภูมิใจไทย,สุพรรณบุรี,4,ภูมิใจไทย,379,ภาคกลาง
เพื่อชาติ,สุพรรณบุรี,4,เพื่อชาติ,368,ภาคกลาง
พลังชาติไทย,สุพรรณบุรี,4,พลังชาติไทย,283,ภาคกลาง
ประชาไทย,สุพรรณบุรี,4,ประชาไทย,196,ภาคกลาง
ชาติพัฒนา,สุพรรณบุรี,4,ชาติพัฒนา,182,ภาคกลาง
รวมพลังประชาชาติไทย,สุพรรณบุรี,4,รวมพลังประชาชาติไทย,171,ภาคกลาง
กรีน,สุพรรณบุรี,4,กรีน,161,ภาคกลาง
รักษ์ผืนป่าประเทศไทย,สุพรรณบุรี,4,รักษ์ผืนป่าประเทศไทย,143,ภาคกลาง
แผ่นดินธรรม,สุพรรณบุรี,4,แผ่นดินธรรม,128,ภาคกลาง
ประชาภิวัฒน์,สุพรรณบุรี,4,ประชาภิวัฒน์,113,ภาคกลาง
ประชาธิปไตยใหม่,สุพรรณบุรี,4,ประชาธิปไตยใหม่,108,ภาคกลาง
ครูไทยเพื่อประชาชน,สุพรรณบุรี,4,ครูไทยเพื่อประชาชน,101,ภาคกลาง
พลังท้องถิ่นไท,สุพรรณบุรี,4,พลังท้องถิ่นไท,83,ภาคกลาง
เครือข่ายชาวนาแห่งประเทศไทย,สุพรรณบุรี,4,เครือข่ายชาวนาแห่งประเทศไทย,80,ภาคกลาง
ประชาชนปฏิรูป,สุพรรณบุรี,4,ประชาชนปฏิรูป,70,ภาคกลาง
พลังสหกรณ์,สุพรรณบุรี,4,พลังสหกรณ์,64,ภาคกลาง
ไทรักธรรม,สุพรรณบุรี,4,ไทรักธรรม,48,ภาคกลาง
พลังปวงชนไทย,สุพรรณบุรี,4,พลังปวงชนไทย,17,ภาคกลาง
ภูมิใจไทย,สุรินทร์,1,ภูมิใจไทย,31614,ภาคอีสาน
เพื่อไทย,สุรินทร์,1,เพื่อไทย,27078,ภาคอีสาน
พลังประชารัฐ,สุรินทร์,1,พลังประชารัฐ,22229,ภาคอีสาน
อนาคตใหม่,สุรินทร์,1,อนาคตใหม่,13144,ภาคอีสาน
ประชาธิปัตย์,สุรินทร์,1,ประชาธิปัตย์,2120,ภาคอีสาน
เสรีรวมไทย,สุรินทร์,1,เสรีรวมไทย,1210,ภาคอีสาน
เศรษฐกิจใหม่,สุรินทร์,1,เศรษฐกิจใหม่,1025,ภาคอีสาน
พลังไทสร้างชาติ,สุรินทร์,1,พลังไทสร้างชาติ,506,ภาคอีสาน
แทนคุณแผ่นดิน,สุรินทร์,1,แทนคุณแผ่นดิน,478,ภาคอีสาน
เพื่อชาติ,สุรินทร์,1,เพื่อชาติ,458,ภาคอีสาน
พลังชาติไทย,สุรินทร์,1,พลังชาติไทย,441,ภาคอีสาน
ทางเลือกใหม่,สุรินทร์,1,ทางเลือกใหม่,415,ภาคอีสาน
ชาติไทยพัฒนา,สุรินทร์,1,ชาติไทยพัฒนา,371,ภาคอีสาน
พลังท้องถิ่นไท,สุรินทร์,1,พลังท้องถิ่นไท,269,ภาคอีสาน
ประชาชนปฏิรูป,สุรินทร์,1,ประชาชนปฏิรูป,237,ภาคอีสาน
ประชาภิวัฒน์,สุรินทร์,1,ประชาภิวัฒน์,230,ภาคอีสาน
ประชาชาติ,สุรินทร์,1,ประชาชาติ,230,ภาคอีสาน
รวมพลังประชาชาติไทย,สุรินทร์,1,รวมพลังประชาชาติไทย,215,ภาคอีสาน
ไทยศรีวิไลย์,สุรินทร์,1,ไทยศรีวิไลย์,149,ภาคอีสาน
พลังไทยรักไทย,สุรินทร์,1,พลังไทยรักไทย,129,ภาคอีสาน
ครูไทยเพื่อประชาชน,สุรินทร์,1,ครูไทยเพื่อประชาชน,95,ภาคอีสาน
รักท้องถิ่นไทย,สุรินทร์,1,รักท้องถิ่นไทย,95,ภาคอีสาน
ประชานิยม,สุรินทร์,1,ประชานิยม,93,ภาคอีสาน
ประชาธรรมไทย,สุรินทร์,1,ประชาธรรมไทย,76,ภาคอีสาน
รักษ์ผืนป่าประเทศไทย,สุรินทร์,1,รักษ์ผืนป่าประเทศไทย,72,ภาคอีสาน
มหาชน,สุรินทร์,1,มหาชน,58,ภาคอีสาน
พลังศรัทธา,สุรินทร์,1,พลังศรัทธา,34,ภาคอีสาน
พลังประชารัฐ,สุรินทร์,2,พลังประชารัฐ,35706,ภาคอีสาน
เพื่อไทย,สุรินทร์,2,เพื่อไทย,24526,ภาคอีสาน
ภูมิใจไทย,สุรินทร์,2,ภูมิใจไทย,20684,ภาคอีสาน
อนาคตใหม่,สุรินทร์,2,อนาคตใหม่,14333,ภาคอีสาน
ประชาธิปัตย์,สุรินทร์,2,ประชาธิปัตย์,2601,ภาคอีสาน
เศรษฐกิจใหม่,สุรินทร์,2,เศรษฐกิจใหม่,1537,ภาคอีสาน
เพื่อชาติ,สุรินทร์,2,เพื่อชาติ,1295,ภาคอีสาน
เสรีรวมไทย,สุรินทร์,2,เสรีรวมไทย,1146,ภาคอีสาน
แทนคุณแผ่นดิน,สุรินทร์,2,แทนคุณแผ่นดิน,700,ภาคอีสาน
ประชาไทย,สุรินทร์,2,ประชาไทย,440,ภาคอีสาน
รวมพลังประชาชาติไทย,สุรินทร์,2,รวมพลังประชาชาติไทย,361,ภาคอีสาน
รักษ์ผืนป่าประเทศไทย,สุรินทร์,2,รักษ์ผืนป่าประเทศไทย,255,ภาคอีสาน
พลังไทยรักไทย,สุรินทร์,2,พลังไทยรักไทย,237,ภาคอีสาน
ประชาชาติ,สุรินทร์,2,ประชาชาติ,214,ภาคอีสาน
ชาติไทยพัฒนา,สุรินทร์,2,ชาติไทยพัฒนา,202,ภาคอีสาน
เพื่อแผ่นดิน,สุรินทร์,2,เพื่อแผ่นดิน,186,ภาคอีสาน
ไทยศรีวิไลย์,สุรินทร์,2,ไทยศรีวิไลย์,173,ภาคอีสาน
ประชานิยม,สุรินทร์,2,ประชานิยม,132,ภาคอีสาน
ครูไทยเพื่อประชาชน,สุรินทร์,2,ครูไทยเพื่อประชาชน,122,ภาคอีสาน
พลังศรัทธา,สุรินทร์,2,พลังศรัทธา,85,ภาคอีสาน
ประชาภิวัฒน์,สุรินทร์,2,ประชาภิวัฒน์,82,ภาคอีสาน
ผึ้งหลวง,สุรินทร์,2,ผึ้งหลวง,80,ภาคอีสาน
พลังชาติไทย,สุรินทร์,2,พลังชาติไทย,79,ภาคอีสาน
ประชาธรรมไทย,สุรินทร์,2,ประชาธรรมไทย,68,ภาคอีสาน
พลังท้องถิ่นไท,สุรินทร์,2,พลังท้องถิ่นไท,66,ภาคอีสาน
ทางเลือกใหม่,สุรินทร์,2,ทางเลือกใหม่,55,ภาคอีสาน
พลังปวงชนไทย,สุรินทร์,2,พลังปวงชนไทย,50,ภาคอีสาน
ประชาชนปฏิรูป,สุรินทร์,2,ประชาชนปฏิรูป,48,ภาคอีสาน
มหาชน,สุรินทร์,2,มหาชน,41,ภาคอีสาน
รวมใจไทย,สุรินทร์,2,รวมใจไทย,38,ภาคอีสาน
พลังไทสร้างชาติ,สุรินทร์,2,พลังไทสร้างชาติ,38,ภาคอีสาน
รักท้องถิ่นไทย,สุรินทร์,2,รักท้องถิ่นไทย,27,ภาคอีสาน
เพื่อไทย,สุรินทร์,3,เพื่อไทย,29254,ภาคอีสาน
พลังประชารัฐ,สุรินทร์,3,พลังประชารัฐ,28492,ภาคอีสาน
ภูมิใจไทย,สุรินทร์,3,ภูมิใจไทย,18408,ภาคอีสาน
อนาคตใหม่,สุรินทร์,3,อนาคตใหม่,8698,ภาคอีสาน
ชาติไทยพัฒนา,สุรินทร์,3,ชาติไทยพัฒนา,3325,ภาคอีสาน
เศรษฐกิจใหม่,สุรินทร์,3,เศรษฐกิจใหม่,855,ภาคอีสาน
ประชาธิปัตย์,สุรินทร์,3,ประชาธิปัตย์,826,ภาคอีสาน
รวมใจไทย,สุรินทร์,3,รวมใจไทย,806,ภาคอีสาน
เสรีรวมไทย,สุรินทร์,3,เสรีรวมไทย,756,ภาคอีสาน
พลังปวงชนไทย,สุรินทร์,3,พลังปวงชนไทย,688,ภาคอีสาน
แทนคุณแผ่นดิน,สุรินทร์,3,แทนคุณแผ่นดิน,415,ภาคอีสาน
ชาติพัฒนา,สุรินทร์,3,ชาติพัฒนา,402,ภาคอีสาน
เพื่อชาติ,สุรินทร์,3,เพื่อชาติ,367,ภาคอีสาน
พลังศรัทธา,สุรินทร์,3,พลังศรัทธา,334,ภาคอีสาน
ประชาชนปฏิรูป,สุรินทร์,3,ประชาชนปฏิรูป,273,ภาคอีสาน
พลังไทยรักไทย,สุรินทร์,3,พลังไทยรักไทย,271,ภาคอีสาน
พลังท้องถิ่นไท,สุรินทร์,3,พลังท้องถิ่นไท,261,ภาคอีสาน
ประชาชาติ,สุรินทร์,3,ประชาชาติ,225,ภาคอีสาน
เพื่อแผ่นดิน,สุรินทร์,3,เพื่อแผ่นดิน,203,ภาคอีสาน
ภราดรภาพ,สุรินทร์,3,ภราดรภาพ,203,ภาคอีสาน
ประชานิยม,สุรินทร์,3,ประชานิยม,188,ภาคอีสาน
ไทยศรีวิไลย์,สุรินทร์,3,ไทยศรีวิไลย์,175,ภาคอีสาน
ครูไทยเพื่อประชาชน,สุรินทร์,3,ครูไทยเพื่อประชาชน,151,ภาคอีสาน
พลังไทสร้างชาติ,สุรินทร์,3,พลังไทสร้างชาติ,142,ภาคอีสาน
ประชาธรรมไทย,สุรินทร์,3,ประชาธรรมไทย,137,ภาคอีสาน
รักท้องถิ่นไทย,สุรินทร์,3,รักท้องถิ่นไทย,127,ภาคอีสาน
รวมพลังประชาชาติไทย,สุรินทร์,3,รวมพลังประชาชาติไทย,107,ภาคอีสาน
ประชาธิปไตยใหม่,สุรินทร์,3,ประชาธิปไตยใหม่,62,ภาคอีสาน
ประชาภิวัฒน์,สุรินทร์,3,ประชาภิวัฒน์,59,ภาคอีสาน
ทางเลือกใหม่,สุรินทร์,3,ทางเลือกใหม่,55,ภาคอีสาน
รักษ์ผืนป่าประเทศไทย,สุรินทร์,3,รักษ์ผืนป่าประเทศไทย,52,ภาคอีสาน
มหาชน,สุรินทร์,3,มหาชน,36,ภาคอีสาน
เพื่อไทย,สุรินทร์,4,เพื่อไทย,34673,ภาคอีสาน
ภูมิใจไทย,สุรินทร์,4,ภูมิใจไทย,27411,ภาคอีสาน
พลังประชารัฐ,สุรินทร์,4,พลังประชารัฐ,15771,ภาคอีสาน
อนาคตใหม่,สุรินทร์,4,อนาคตใหม่,11624,ภาคอีสาน
เพื่อชาติ,สุรินทร์,4,เพื่อชาติ,2641,ภาคอีสาน
ประชาธิปัตย์,สุรินทร์,4,ประชาธิปัตย์,1811,ภาคอีสาน
เสรีรวมไทย,สุรินทร์,4,เสรีรวมไทย,962,ภาคอีสาน
พลังปวงชนไทย,สุรินทร์,4,พลังปวงชนไทย,703,ภาคอีสาน
มหาชน,สุรินทร์,4,มหาชน,574,ภาคอีสาน
เศรษฐกิจใหม่,สุรินทร์,4,เศรษฐกิจใหม่,514,ภาคอีสาน
ครูไทยเพื่อประชาชน,สุรินทร์,4,ครูไทยเพื่อประชาชน,462,ภาคอีสาน
ประชาชาติ,สุรินทร์,4,ประชาชาติ,446,ภาคอีสาน
รักท้องถิ่นไทย,สุรินทร์,4,รักท้องถิ่นไทย,384,ภาคอีสาน
ประชานิยม,สุรินทร์,4,ประชานิยม,247,ภาคอีสาน
พลังไทยรักไทย,สุรินทร์,4,พลังไทยรักไทย,218,ภาคอีสาน
พลังท้องถิ่นไท,สุรินทร์,4,พลังท้องถิ่นไท,208,ภาคอีสาน
รักษ์ผืนป่าประเทศไทย,สุรินทร์,4,รักษ์ผืนป่าประเทศไทย,207,ภาคอีสาน
รวมพลังประชาชาติไทย,สุรินทร์,4,รวมพลังประชาชาติไทย,178,ภาคอีสาน
ชาติไทยพัฒนา,สุรินทร์,4,ชาติไทยพัฒนา,166,ภาคอีสาน
ประชาภิวัฒน์,สุรินทร์,4,ประชาภิวัฒน์,136,ภาคอีสาน
เพื่อแผ่นดิน,สุรินทร์,4,เพื่อแผ่นดิน,116,ภาคอีสาน
แทนคุณแผ่นดิน,สุรินทร์,4,แทนคุณแผ่นดิน,113,ภาคอีสาน
ประชาธรรมไทย,สุรินทร์,4,ประชาธรรมไทย,110,ภาคอีสาน
ภาคีเครือข่ายไทย,สุรินทร์,4,ภาคีเครือข่ายไทย,109,ภาคอีสาน
พลังแรงงานไทย,สุรินทร์,4,พลังแรงงานไทย,108,ภาคอีสาน
ไทยศรีวิไลย์,สุรินทร์,4,ไทยศรีวิไลย์,97,ภาคอีสาน
พลังไทสร้างชาติ,สุรินทร์,4,พลังไทสร้างชาติ,95,ภาคอีสาน
ประชาชนปฏิรูป,สุรินทร์,4,ประชาชนปฏิรูป,88,ภาคอีสาน
ทางเลือกใหม่,สุรินทร์,4,ทางเลือกใหม่,86,ภาคอีสาน
รวมใจไทย,สุรินทร์,4,รวมใจไทย,72,ภาคอีสาน
ผึ้งหลวง,สุรินทร์,4,ผึ้งหลวง,62,ภาคอีสาน
ประชาธิปไตยใหม่,สุรินทร์,4,ประชาธิปไตยใหม่,54,ภาคอีสาน
พลังศรัทธา,สุรินทร์,4,พลังศรัทธา,13,ภาคอีสาน
เพื่อไทย,สุรินทร์,5,เพื่อไทย,45681,ภาคอีสาน
ภูมิใจไทย,สุรินทร์,5,ภูมิใจไทย,14917,ภาคอีสาน
พลังประชารัฐ,สุรินทร์,5,พลังประชารัฐ,13976,ภาคอีสาน
อนาคตใหม่,สุรินทร์,5,อนาคตใหม่,10863,ภาคอีสาน
ประชาธิปัตย์,สุรินทร์,5,ประชาธิปัตย์,1518,ภาคอีสาน
พลังไทสร้างชาติ,สุรินทร์,5,พลังไทสร้างชาติ,947,ภาคอีสาน
เสรีรวมไทย,สุรินทร์,5,เสรีรวมไทย,816,ภาคอีสาน
เพื่อชาติ,สุรินทร์,5,เพื่อชาติ,816,ภาคอีสาน
